ticker,nct,sponsor,pcd,status
VRTX,NCT03633526,Vertex Pharmaceuticals Incorporated,2019-01-18,TERMINATED
VRTX,NCT02412111,Vertex Pharmaceuticals Incorporated,2017-09,COMPLETED
VRTX,NCT06832410,Vertex Pharmaceuticals Incorporated,2026-09-17,RECRUITING
VRTX,NCT02669849,Vertex Pharmaceuticals Incorporated,2018-11,TERMINATED
VRTX,NCT03559062,Vertex Pharmaceuticals Incorporated,2018-12-21,COMPLETED
VRTX,NCT05153317,Vertex Pharmaceuticals Incorporated,2026-01-29,COMPLETED
VRTX,NCT03125395,Vertex Pharmaceuticals Incorporated,2019-07-17,COMPLETED
VRTX,NCT02347657,Vertex Pharmaceuticals Incorporated,2017-01-20,COMPLETED
VRTX,NCT02392234,Vertex Pharmaceuticals Incorporated,2017-02,COMPLETED
VRTX,NCT02725567,Vertex Pharmaceuticals Incorporated,2022-06-28,COMPLETED
VRTX,NCT03525444,Vertex Pharmaceuticals Incorporated,2019-04-24,COMPLETED
VRTX,NCT04362761,Vertex Pharmaceuticals Incorporated,2022-12-21,COMPLETED
VRTX,NCT02544451,Vertex Pharmaceuticals Incorporated,2018-08,COMPLETED
VRTX,NCT03277196,Vertex Pharmaceuticals Incorporated,2023-10-02,COMPLETED
VRTX,NCT03447262,Vertex Pharmaceuticals Incorporated,2020-09-09,TERMINATED
VRTX,NCT05274269,Vertex Pharmaceuticals Incorporated,2023-07-05,COMPLETED
NERV,NCT03397134,Minerva Neurosciences,2020-05-26,COMPLETED
RIGL,NCT04629703,Rigel Pharmaceuticals,2022-09-05,COMPLETED
RIGL,NCT03764618,Rigel Pharmaceuticals,2022-04-11,COMPLETED
RIGL,NCT02077192,Rigel Pharmaceuticals,2020-06-02,COMPLETED
RIGL,NCT04138927,Rigel Pharmaceuticals,2024-04,ENROLLING_BY_INVITATION
AMGN,NCT05724199,Amgen,2024-09-15,COMPLETED
AMGN,NCT05704738,Amgen,2025-02-27,COMPLETED
AMGN,NCT03836040,Amgen,2025-11-19,ACTIVE_NOT_RECRUITING
AMGN,NCT02747043,Amgen,2019-06-28,COMPLETED
ARDX,NCT02686138,Ardelyx,2017-08,COMPLETED
ARDX,NCT05643534,Ardelyx,2026-09-01,ACTIVE_NOT_RECRUITING
ARDX,NCT02621892,Ardelyx,2017-03,COMPLETED
ARDX,NCT03824587,Ardelyx,2019-07-17,COMPLETED
ARDX,NCT02727751,Ardelyx,2017-10,COMPLETED
ARDX,NCT03427125,Ardelyx,2019-11-15,COMPLETED
IRWD,NCT03573908,"Ironwood Pharmaceuticals, Inc.",2019-03-13,COMPLETED
IRWD,NCT03561090,"Ironwood Pharmaceuticals, Inc.",2020-10-07,TERMINATED
IRWD,NCT03561883,"Ironwood Pharmaceuticals, Inc.",2020-07-28,COMPLETED
PCRX,NCT03529942,"Pacira Pharmaceuticals, Inc",2019-11-08,COMPLETED
PCRX,NCT05139030,"Pacira Pharmaceuticals, Inc",2022-07-11,COMPLETED
PCRX,NCT03954639,"Pacira Pharmaceuticals, Inc",2020-09,WITHDRAWN
PCRX,NCT03046446,"Pacira Pharmaceuticals, Inc",2018-07-19,COMPLETED
PCRX,NCT03793010,"Pacira Pharmaceuticals, Inc",2019-08-07,TERMINATED
SUPN,NCT03665038,"Supernus Pharmaceuticals, Inc.",2021-01-08,COMPLETED
SUPN,NCT03597503,"Supernus Pharmaceuticals, Inc.",2020-01-22,TERMINATED
SUPN,NCT03247530,"Supernus Pharmaceuticals, Inc.",2018-09-12,COMPLETED
SUPN,NCT02736656,"Supernus Pharmaceuticals, Inc.",2026-09,ACTIVE_NOT_RECRUITING
SUPN,NCT04016792,"Supernus Pharmaceuticals, Inc.",2020-09,WITHDRAWN
SUPN,NCT02942004,"Supernus Pharmaceuticals, Inc.",2017-09-24,COMPLETED
SUPN,NCT04143217,"Supernus Pharmaceuticals, Inc.",2022-07-26,COMPLETED
SUPN,NCT05655520,"Supernus Pharmaceuticals, Inc.",2025-01-20,TERMINATED
SUPN,NCT02691182,"Supernus Pharmaceuticals, Inc.",2021-05,TERMINATED
SUPN,NCT02618434,"Supernus Pharmaceuticals, Inc.",2019-11-15,COMPLETED
SUPN,NCT02618408,"Supernus Pharmaceuticals, Inc.",2019-09-04,COMPLETED
SUPN,NCT04016779,"Supernus Pharmaceuticals, Inc.",2020-10-10,COMPLETED
