ticker,date,label,phrase,cik,name
HRTX,2017-01-04,pos,positive topline results,0000818033,"HERON THERAPEUTICS, INC. /DE/"
TOVX,2017-01-05,pos,met its primary endpoint,0000894158,"Synthetic Biologics, Inc."
VRTX,2017-01-09,pos,met its primary endpoint,0000875320,VERTEX PHARMACEUTICALS INC / MA
NERV,2017-01-20,pos,met its primary endpoint,0001598646,"Minerva Neurosciences, Inc."
VRTX,2017-01-25,pos,met its primary endpoint,0000875320,VERTEX PHARMACEUTICALS INC / MA
RIGL,2017-01-30,neg,did not meet its primary endpoint,0001034842,RIGEL PHARMACEUTICALS INC
FGEN,2017-01-30,pos,positive topline results,0000921299,FIBROGEN INC
AMGN,2017-02-02,pos,met its primary endpoint,0000318154,AMGEN INC
MYGN,2017-02-07,pos,met its primary endpoint,0000899923,MYRIAD GENETICS INC
VXRT,2017-02-13,neg,did not meet its primary endpoint,0000072444,"Aviragen Therapeutics, Inc."
ARDX,2017-02-15,pos,met its primary endpoint,0001437402,"ARDELYX, INC."
IRWD,2017-02-21,pos,met its primary endpoint,0001446847,IRONWOOD PHARMACEUTICALS INC
PCRX,2017-03-01,pos,positive topline results,0001396814,"Pacira Pharmaceuticals, Inc."
SUPN,2017-03-01,pos,positive topline results,0001356576,SUPERNUS PHARMACEUTICALS INC
TOVX,2017-03-02,pos,positive topline results,0000894158,"Synthetic Biologics, Inc."
TGTX,2017-03-06,pos,positive topline results,0001001316,"TG THERAPEUTICS, INC."
CRBP,2017-03-09,pos,positive topline results,0001595097,"Corbus Pharmaceuticals Holdings, Inc."
TGTX,2017-03-10,pos,positive topline results,0001001316,"TG THERAPEUTICS, INC."
OCUL,2017-03-10,pos,positive topline results,0001393434,"OCULAR THERAPEUTIX, INC"
VRTX,2017-03-29,pos,met its primary endpoint,0000875320,VERTEX PHARMACEUTICALS INC / MA
MTNB,2017-04-03,pos,positive topline results,0001582554,"Matinas BioPharma Holdings, Inc."
LLY,2017-04-25,pos,met its primary endpoint,0000059478,LILLY ELI & CO
VSTM,2017-05-02,pos,met its primary endpoint,0001526119,"Verastem, Inc."
MYGN,2017-05-02,pos,met its primary endpoint,0000899923,MYRIAD GENETICS INC
IRWD,2017-05-08,pos,met its primary endpoint,0001446847,IRONWOOD PHARMACEUTICALS INC
COLL,2017-05-10,pos,positive topline results,0001267565,"COLLEGIUM PHARMACEUTICAL, INC"
TOVX,2017-05-15,pos,met its primary endpoint,0000894158,"Synthetic Biologics, Inc."
VCEL,2017-05-15,pos,met its primary endpoint,0000887359,Vericel Corp
NERV,2017-05-15,pos,met its primary endpoint,0001598646,"Minerva Neurosciences, Inc."
IONS,2017-05-18,pos,positive topline results,0000874015,IONIS PHARMACEUTICALS INC
BLPH,2017-05-22,pos,met its primary endpoint,0001600132,"Bellerophon Therapeutics, Inc."
ONCSQ,2017-06-01,pos,positive topline results,0001444307,ONCOSEC MEDICAL Inc
VCEL,2017-06-02,pos,met its primary endpoint,0000887359,Vericel Corp
TGTX,2017-06-05,pos,met its primary endpoint,0001001316,"TG THERAPEUTICS, INC."
ELTP,2017-06-14,pos,positive topline results,0001053369,ELITE PHARMACEUTICALS INC /NV/
LCTX,2017-06-14,pos,met its primary endpoint,0000876343,BIOTIME INC
TGTX,2017-06-16,pos,met its primary endpoint,0001001316,"TG THERAPEUTICS, INC."
VSTM,2017-07-11,pos,met its primary endpoint,0001526119,"Verastem, Inc."
NKTR,2017-07-18,pos,positive topline results,0000906709,NEKTAR THERAPEUTICS
LLY,2017-07-25,pos,met its primary endpoint,0000059478,LILLY ELI & CO
