ticker,pcd,year,runup,window
VRTX,2019-01-18,2019,0.07732909990323034,-0.12804566224659197
VRTX,2017-09,2017,0.18377083030922403,-0.11051718651670583
VRTX,2018-11,2018,0.12916488492429057,0.06477240338084478
VRTX,2018-12-21,2018,0.017464191350437197,-0.02292419918892996
VRTX,2026-01-29,2026,-0.028876259263078907,0.00656396095092493
VRTX,2019-07-17,2019,-0.00971424127267273,0.017048252037940692
VRTX,2017-01-20,2017,-0.045729355683983286,-0.005652233820105934
VRTX,2017-02,2017,0.0572324345137849,0.16209665051154243
VRTX,2022-06-28,2022,0.07588982066962124,-0.18100386084818965
VRTX,2019-04-24,2019,-0.020538586918357638,0.02244104936714919
VRTX,2022-12-21,2022,-0.023985080747547016,-0.04814073931296736
VRTX,2018-08,2018,0.14314707695495166,0.09897211480769919
VRTX,2023-10-02,2023,0.09753485447596066,-0.008108033507093992
VRTX,2020-09-09,2020,-0.008734910370853832,-0.3563278805397694
VRTX,2023-07-05,2023,0.025088013351709293,0.052349709241702236
NERV,2020-05-26,2020,0.5011837168912474,-1.3911800066966613
RIGL,2022-09-05,2022,0.08333460518041669,-0.646492122995507
RIGL,2022-04-11,2022,0.23103268314011416,-1.2746363492656434
RIGL,2020-06-02,2020,-0.21204600331573253,0.21114007403618817
RIGL,2024-04,2024,0.1803869424633726,-0.3782500877143926
AMGN,2024-09-15,2024,0.010141586535854508,-0.06636697890091625
AMGN,2025-02-27,2025,0.1258837254102394,0.0956160586441408
AMGN,2025-11-19,2025,0.05264237775999181,-0.11279867437451951
AMGN,2019-06-28,2019,0.04664675375484606,0.19773686958193704
ARDX,2017-08,2017,0.14170701582914957,-0.09380044368109508
ARDX,2017-03,2017,-0.16051806418177472,0.04716395915598648
ARDX,2019-07-17,2019,-0.12175664968479671,0.9293252871923549
ARDX,2017-10,2017,-0.031065113217392915,0.22686564414791
ARDX,2019-11-15,2019,0.05647085511524419,0.10666789362654039
IRWD,2019-03-13,2019,0.011455448562565973,-0.02845340392705742
IRWD,2020-10-07,2020,-0.06810593973055212,0.026423366508165902
IRWD,2020-07-28,2020,-0.0925014579955592,-0.015726905276388425
PCRX,2019-11-08,2019,0.10008964054588443,-0.09562319927572194
PCRX,2022-07-11,2022,-0.1252661198682361,-0.22001253164407863
PCRX,2020-09,2020,0.10055184828742814,-0.18645134011360698
PCRX,2018-07-19,2018,-0.05648563323394473,0.2996804821028931
PCRX,2019-08-07,2019,0.03409949345805874,-0.03502936610116514
SUPN,2021-01-08,2021,-0.023344500368887022,0.03875810945344638
SUPN,2020-01-22,2020,0.04642523215663186,-0.06861516849880278
SUPN,2018-09-12,2018,-0.23262575936257157,0.18569831285663208
SUPN,2020-09,2020,-0.060308726496657084,-0.25479509082842
SUPN,2017-09-24,2017,0.07672849528737524,-0.21870778359024445
SUPN,2022-07-26,2022,-0.1120176466032432,0.1704213615408552
SUPN,2025-01-20,2025,0.12536547106865115,-0.13501491945379707
SUPN,2021-05,2021,0.25370268342471114,-0.0036855859767617183
SUPN,2019-11-15,2019,-0.32445003153044727,-0.011839453607126238
SUPN,2019-09-04,2019,-0.1186653734118952,0.024087997909022274
SUPN,2020-10-10,2020,-0.05768546215911741,-0.19284165341563542
SUPN,2018-10-17,2018,0.15489726670343495,-0.13601761352096808
SUPN,2018-10-17,2018,0.15489726670343495,-0.13601761352096808
SUPN,2017-07-18,2017,0.137092352617453,0.01957653356541611
SUPN,2018-12,2018,-0.028003669000838727,-0.20062110471972572
SUPN,2019-02-14,2019,-0.034887519908889164,-0.08083973080416085
SUPN,2017-09-17,2017,0.1050952096733675,-0.22589684210653616
CRBP,2020-05-27,2020,0.02406155783602859,-0.12310381258908443
CRBP,2021-03-31,2021,-0.04593442483790788,0.03135804052892155
OCUL,2023-12-21,2023,0.08677395140948874,0.5495591220979912
OCUL,2026-04-29,2026,-0.13479123877190968,-0.07704339347017264
OCUL,2019-03-30,2019,0.02388086022315039,-0.33770135762654185
OCUL,2020-02-28,2020,0.13855295358383657,0.04936099444791475
OCUL,2020-02-10,2020,0.1858253250078783,0.2661458019924936
MTNB,2024-10,2024,-0.762875404442475,-1.7551852560482935
MTNB,2022-08,2022,-0.07124461360312839,-0.236127842656785
LLY,2024-05-16,2024,0.039518017871371214,0.06154547920295528
LLY,2026-01-22,2026,-0.007291643383690705,-0.14163231079745042
LLY,2019-03-18,2019,0.03157865265871074,-0.0416401733671421
COLL,2022-05-17,2022,0.023922046700881605,-0.09604601954595937
COLL,2025-12-31,2025,-0.004126874858797702,-0.16551959331858868
COLL,2024-12-31,2024,-0.034986171241565334,0.020863102722727955
COLL,2018-02-23,2018,0.26049689654023966,-0.012581657459532547
COLL,2024-06-30,2024,-0.21951701142513347,0.0852103250219729
COLL,2024-06-30,2024,-0.21951701142513347,0.0852103250219729
IONS,2017-03-03,2017,-0.1422301612502208,0.022007456597801234
IONS,2020-09-11,2020,-0.03856754164949905,-0.20516545787701546
IONS,2026-04,2026,-0.14276075759557294,-0.040687179460451084
IONS,2023-11-09,2023,0.15701977615135432,-0.16998402440359195
IONS,2024-12-17,2024,-0.026844760197234585,-0.11566061428954066
IONS,2024-10-22,2024,-0.18876564694896913,0.03320534016532006
NKTR,2022-04-22,2022,-0.567336368863443,-0.2640759906241712
NKTR,2022-01-07,2022,0.14692201288853912,-0.008147156279785683
NKTR,2020-07,2020,-0.07354941574709528,-0.12776629664542938
NKTR,2024-05-22,2024,0.6211707282430443,-0.27935784845342004
NKTR,2022-09-22,2022,-0.1763260608218351,0.02056833393412605
NKTR,2017-12,2017,0.8350198210003255,0.3853283207019098
PFE,2019-07-15,2019,-0.008402560984980045,-0.08702428286245878
PFE,2024-12-13,2024,-0.10735652239144633,0.08380524473557616
PFE,2024-03-11,2024,-0.19369917372674728,0.15919928521091498
PFE,2018-10-08,2018,0.0407140056920845,0.2069088844440108
REGN,2021-03-15,2021,-0.06552570781385825,0.1857802226390204
REGN,2024-05-31,2024,0.02521255757944907,0.01862496725595708
REGN,2019-12-13,2019,0.04041043773651776,0.048610849462714434
REGN,2023-01-04,2023,0.007779091171068231,0.036870092829539125
REGN,2026-03-12,2026,0.06287767755463136,-0.16024938247064124
REGN,2020-12-01,2020,-0.19599754579975226,-0.22339143445257204
REGN,2019-06-10,2019,-0.06249603637066237,-0.049652751537110795
NBIX,2021-10-15,2021,0.12505518093460744,-0.11158151495232538
NBIX,2024-02-02,2024,0.058341811933502186,-0.04779729930226484
NBIX,2025-02-04,2025,0.18959438348921775,-0.17453260624974654
NBIX,2017-03,2017,-0.08876062283690844,0.16806711900568638
NBIX,2018-07-28,2018,0.009908901801617631,0.2023961884290939
NBIX,2018-10-17,2018,-0.002020356360830533,-0.28408054907920555
NBIX,2025-10-16,2025,-0.14348957179548005,-0.06101800686835546
NBIX,2023-07-19,2023,0.0597813192339256,0.21675579437063952
NBIX,2022-07-13,2022,-0.013409559697033835,0.005411312057557183
NBIX,2025-11-05,2025,-0.13329241624039323,-0.15397780963171304
NBIX,2023-03-10,2023,-0.041496979235068565,-0.053645409881587724
NBIX,2023-11-08,2023,0.10326636863435468,-0.1557328833391205
RARE,2019-10-09,2019,-0.22377172684163948,-0.21599472332664638
RARE,2018-01-10,2018,-0.047058329382833275,-0.013153360798570546
RARE,2019-01-14,2019,-0.14061089920908154,0.2567663869447778
RARE,2025-10-20,2025,-0.11386955153992595,-0.062326117016668015
RARE,2024-02-20,2024,-0.053613338108355,0.015073998411080147
RARE,2025-10-23,2025,-0.08838918797129525,-0.12803109994853612
RARE,2017-06-09,2017,-0.09453013471917249,0.000994012268633604
CHRS,2017-09,2017,0.025878122172201312,-0.2714733009719965
INSM,2026-04-01,2026,-0.01857972697207355,-0.397557806198372
INSM,2025-11-21,2025,0.13597960066195292,-0.33960262165732047
INSM,2023-05-09,2023,0.07629553255487753,-0.011983007365568454
INSM,2024-10-28,2024,0.014226643962858887,0.02656688991120859
INSM,2018-10-17,2018,-0.18053438893842122,0.03288968968410977
INSM,2018-07-03,2018,-0.15636223150246042,-0.16267015579672295
ABBV,2017-08-02,2017,-0.0737736796360684,0.14055114670257796
ABBV,2023-10-06,2023,0.06139022703300334,-0.11560786856362704
ABBV,2017-07-13,2017,-0.030951709908512814,0.11810800812084388
ABBV,2017-04-21,2017,0.09187426946047905,0.006283754243111783
ABBV,2017-08,2017,-0.06957964098357339,0.1036818208439918
ABBV,2019-10-15,2019,0.1552917240440994,-0.03875922931217435
ABBV,2017-03-17,2017,-0.07289863544990505,0.05305025254866669
ABBV,2025-01-29,2025,0.07482958281278584,0.2173267453941694
ABBV,2021-01-14,2021,-0.08374003875807023,0.021382577649982082
ABBV,2019-04-10,2019,-0.0375187780152908,0.04480102693687993
ABBV,2019-07-23,2019,-0.15398985597673231,0.054261473618095746
EXEL,2024-04-19,2024,0.13963930224029575,-0.03157977298022141
EXEL,2017-10-16,2017,-0.17841502969723555,0.12104821476011729
EXEL,2020-08-19,2020,-0.03847471432032723,-0.017183717321195058
ALNY,2024-05-08,2024,0.07013914423351686,0.47408423405728506
ALNY,2022-06-20,2022,0.04776186799955262,0.23423965970696248
ALNY,2021-05-18,2021,0.02033315906372657,0.26737369359251595
ALNY,2020-06-29,2020,-0.04016454102133871,-0.1285115846169944
ALNY,2020-11-10,2020,-0.053488109336679024,-0.12297213639124216
ALNY,2020-10-06,2020,0.019142273660535558,-0.2568405915216001
ALNY,2022-11-23,2022,0.05264297255410977,0.004915375595120786
ALNY,2017-03-30,2017,0.22803717485587294,0.20724673440972996
ALNY,2017-08,2017,-0.00040918823896873846,0.2729489369100371
ALNY,2019-11-05,2019,0.07797895775331032,0.12554629435032183
ALNY,2019-01-31,2019,0.052658746108946275,0.02875598337280838
AXSM,2024-11-15,2024,-0.0361659716048468,0.19114133126516553
AXSM,2025-02-17,2025,0.2029381221659916,0.15720510175250535
AXSM,2020-03-16,2020,-0.012895677417004592,-0.05684560690097307
AXSM,2024-12-31,2024,0.12122533746513398,0.40169295419419626
AXSM,2024-11-21,2024,0.028669655083490397,0.13295426495373341
AXSM,2025-02-07,2025,0.18752006183022285,0.1480950580749072
AXSM,2020-03-20,2020,-0.07150757124965335,-0.12570698099745492
AXSM,2020-04-17,2020,-0.2534964428165347,0.02139900490105262
AXSM,2024-03-15,2024,-0.36101926497543957,0.14328474810350755
AXSM,2019-11-26,2019,0.30601033946121614,1.0944314591436899
AXSM,2020-09-22,2020,0.13127753304796386,-0.21744715874138976
AXSM,2024-12-03,2024,0.14459528615214445,0.13630515528204779
AXSM,2024-11-27,2024,0.1594915986861949,0.10290512516947725
AXSM,2019-12-10,2019,0.47265538751961644,0.7868185196389996
AXSM,2020-12,2020,-0.07640816249131355,-0.2561758689559932
AXSM,2019-01,2019,-0.31687330373787415,0.9494423949686608
AXSM,2020-10-23,2020,-0.07672616591776116,-0.11705878126013758
AXSM,2022-11-21,2022,0.2131911752052016,0.15660638125289417
MCRB,2022-04-29,2022,-0.22107968210658235,-0.40856282770221597
MCRB,2020-07-03,2020,-0.0886540041665631,1.7043462302104322
IMUX,2018-03,2018,-0.36058143198600856,0.18283378058720867
AMPE,2018-10-04,2018,0.18011937385062016,0.349572536467317
