,33 TQQQ/33 GLD/33 TLT,Indices strat 2x (QLD),Regime AGG,Regime VAGG,100% SPY
2007,18.9,-6.8,17.2,17.2,-3.3
2008,-34.1,1.3,1.9,-22.5,-36.8
2009,53.5,32.0,36.1,78.7,26.4
2010,34.5,7.0,3.6,5.5,15.1
2011,18.7,-8.5,20.5,22.8,1.9
2012,21.2,20.8,31.9,58.9,16.0
2013,16.2,44.8,68.6,116.3,32.3
2014,27.8,5.7,25.9,37.9,13.5
2015,4.5,-26.4,2.1,0.1,1.2
2016,10.0,-10.3,-15.9,-25.0,12.0
2017,40.3,47.9,33.5,40.4,21.7
2018,-3.2,12.4,-15.7,-25.6,-4.6
2019,50.8,-0.7,38.9,65.4,31.2
2020,69.3,47.2,95.0,147.6,18.3
2021,22.7,12.1,11.1,11.1,28.7
2022,-41.9,-5.0,-23.2,-28.2,-18.2
2023,56.2,74.9,77.2,120.1,26.2
2024,26.8,22.3,41.6,53.9,24.9
2025,39.9,7.3,45.7,65.2,17.7
2026,16.0,20.8,4.5,4.5,13.9
