portfolio,CAGR,Sortino,maxDD,beta,Sharpe
100% SPY,+10.8%,0.67,-55%,1.0,0.55
100% QQQ,+16.3%,0.94,-53%,1.05,0.72
60/40 SPY/TLT,+8.6%,0.84,-30%,0.51,0.65
Permanent 4x25,+7.3%,1.06,-19%,0.2,0.77
33 TQQQ/33 GLD/33 TLT,+19.7%,1.13,-51%,0.99,0.83
33 QLD/33 GLD/33 TLT,+15.3%,1.19,-37%,0.64,0.87
Indices strat 1x,+8.5%,0.61,-21%,0.25,0.63
Indices strat 2x (QLD),+13.2%,0.56,-40%,0.5,0.58
Indices strat 3x (TQQQ),+17.0%,0.56,-55%,0.75,0.58
Regime CONS,+7.7%,1.09,-15%,0.09,0.82
Regime MOD,+13.3%,1.06,-27%,0.23,0.82
Regime AGG,+22.4%,1.11,-32%,0.69,0.95
Regime VAGG,+29.8%,1.03,-51%,1.13,0.9
