,CONS,MOD,AGG,VAGG,SPY
2007,12.4,15.0,17.4,18.1,-3.3
2008,9.9,9.6,4.2,-29.1,-36.8
2009,2.4,7.7,29.7,83.0,26.4
2010,9.2,6.5,1.5,15.7,15.1
2011,9.2,4.3,3.5,5.2,1.9
2012,-0.6,3.9,32.3,64.6,16.0
2013,0.9,22.4,76.6,133.1,32.3
2014,6.6,14.4,31.5,49.2,13.5
2015,-1.4,3.5,-2.0,-2.5,1.2
2016,5.5,3.9,-11.9,-13.0,12.0
2017,10.0,12.2,28.0,48.6,21.7
2018,-0.4,-5.1,-17.1,-24.7,-4.6
2019,11.2,18.5,36.9,80.8,31.2
2020,14.2,22.2,83.1,157.4,18.3
2021,13.3,28.6,23.5,36.5,28.7
2022,-4.0,-0.3,-17.9,-29.5,-18.2
2023,10.4,25.9,80.1,140.7,26.2
2024,13.4,15.9,40.0,55.6,24.9
2025,20.7,21.2,36.1,50.6,17.7
2026,8.5,18.3,16.4,16.6,13.9
